id,name,category,price,rating,reviews,asin,url,image,isBestSeller,boughtInLastMonth
1115,Wireless Earbuds Active Noise Cancelling Headphones Wireless Bluetooth 5.2 with Microphone Charging Case 30H Playtime in-Ear Hi-Fi Stereo IPX7 Waterproof Headsets for iPhone airpod pro/Android,headphones,19.99,4.8,6063,B0CHDWSSQ2,https://www.amazon.com/dp/B0CHDWSSQ2,https://m.media-amazon.com/images/I/51b3T0mrdJL._AC_UL320_.jpg,False,0
1116,"Black Shark Bluetooth Earbuds Wireless with 45ms Ultra-Low Latency, Gaming 5.2, Dual Modes, 10mm Driver, 35H Play Time, IPX4 Waterproof, Built-in Mic - Lucifer T1",headphones,39.99,4.3,6046,B09BN9WBTQ,https://www.amazon.com/dp/B09BN9WBTQ,https://m.media-amazon.com/images/I/61RW3L1+KEL._AC_UL320_.jpg,False,0
1117,"SIMOLIO Kids Headphones with Microphone, Headphones for Girls with 75dB,85dB,94dB Volume Limited & Share Jack, Durable Children Headphones, On-Ear Kids Headset for School/Plane Travel/Gift (Pink)",headphones,15.99,4.3,6042,B07RR9WRLC,https://www.amazon.com/dp/B07RR9WRLC,https://m.media-amazon.com/images/I/718wYKEbc3L._AC_UL320_.jpg,False,0
1118,Rotibox Bluetooth Beanie Hat Wireless Headphone for Outdoor Sports Xmas Gifts,headphones,29.99,4.4,6026,B075R7TRJ7,https://www.amazon.com/dp/B075R7TRJ7,https://m.media-amazon.com/images/I/71hYgyuaTfL._AC_UL320_.jpg,False,0
1119,iRAG J01 Kids Headphones Foldable Stereo Tangle-Free 5ft Long Cord 3.5mm Jack Plug in Wired On-Ear Headset for iPad/Amazon Kindle Fire/Toddler/Boys/Girls/School/Laptop/Tablet(Ocean Blue),headphones,8.49,4.7,6023,B07TK2XCBX,https://www.amazon.com/dp/B07TK2XCBX,https://m.media-amazon.com/images/I/71EjJm0+2UL._AC_UL320_.jpg,False,0
1120,"Tribit Wireless Earbuds, Qualcomm QCC3040 Bluetooth 5.2, 4 Mics CVC 8.0 Call Noise Reduction 50H Playtime Clear Calls Volume Control True Wireless Bluetooth Earbuds Earphones, FlyBuds C1 Black",headphones,59.99,4.0,6001,B08QZGH5PC,https://www.amazon.com/dp/B08QZGH5PC,https://m.media-amazon.com/images/I/61BHbhW8LgL._AC_UL320_.jpg,False,0
1121,"Wireless Earbud, ROMOKE Bluetooth 5.3 Headphones 35H HiFi Sterero Bluetooth Earbud with HD Mic, Dual LED Wireless Earphones Ear buds Sport IP7 Waterproof USB-C Mini Charging Case for Android iOS[2022]",headphones,12.99,4.2,5940,B0B4RVBBRG,https://www.amazon.com/dp/B0B4RVBBRG,https://m.media-amazon.com/images/I/61YWAduBAzL._AC_UL320_.jpg,False,0
1122,"COMEXION Bluetooth Headset, Wireless Business Earpiece V4.1 Lightweight Noisy Suppression Bluetooth Earphone with Microphone for Phone/Laptop/Car（Blue+Case）",headphones,26.99,4.3,5924,B07FSDJ5PJ,https://www.amazon.com/dp/B07FSDJ5PJ,https://m.media-amazon.com/images/I/51cF7-StHIL._AC_UL320_.jpg,False,0
1123,"JVC Gumy Truly Wireless Earbuds Headphones, Bluetooth 5.0, Water Resistance(IPX4), Long Battery Life (up to 15 Hours) - HAA7TB (Black), Small",headphones,29.92,4.2,5915,B08GX5LF7H,https://www.amazon.com/dp/B08GX5LF7H,https://m.media-amazon.com/images/I/71ZbqKpU3gL._AC_UL320_.jpg,False,0
1124,"Pokemon Pikachu Wired Kids Headphones, Adjustable, Stereo Sound, 3.5Mm Jack, Tangle-Free, Volume Control, Children's Headband On Ear for School Home, Travel",headphones,19.99,4.4,5906,B07CB2C2TK,https://www.amazon.com/dp/B07CB2C2TK,https://m.media-amazon.com/images/I/811hc+lQk4S._AC_UL320_.jpg,False,2000
